표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7348350000","348350","위드텍","위드텍","WITHTECH, Inc.","2020/10/30","KOSDAQ","주권","벤처기업부","보통주","500","5091800"
"KR7112040001","112040","위메이드","위메이드","Wemade Co., Ltd.","2009/12/18","KOSDAQ","주권","중견기업부","보통주","500","16800000"
"KR7065370009","065370","위세아이텍","위세아이텍","WISE iTech Co., Ltd.","2020/02/10","KOSDAQ","주권","기술성장기업부","보통주","500","4453611"
"KR7038620001","038620","위즈코프","위즈코프","WIZ CORP, Inc.","2000/05/04","KOSDAQ","주권","중견기업부","보통주","500","38830772"
"KR7299900001","299900","위지윅스튜디오","위지윅스튜디오","WYSIWYG STUDIOS CO., LTD.","2018/12/20","KOSDAQ","주권","벤처기업부","보통주","500","31295521"
"KR7036090009","036090","위지트","위지트","WIZIT Co., Ltd.","1999/12/10","KOSDAQ","주권","중견기업부","보통주","500","90231385"
"KR7136540002","136540","윈스","윈스","Wins co., Ltd.","2011/05/02","KOSDAQ","주권","우량기업부","보통주","500","12198063"
"KR7320000003","320000","윈텍","윈텍","WINTEC Co.,Ltd.","2019/09/18","KOSDAQ","주권","중견기업부","보통주","100","18499148"
"KR7097800007","097800","윈팩","윈팩","WINPAC INC.","2013/03/07","KOSDAQ","주권","벤처기업부","보통주","500","38292550"
"KR7192390003","192390","윈하이텍","윈하이텍","WINHITECH CO., Ltd.","2014/07/25","KOSDAQ","주권","중견기업부","보통주","500","10656896"
"KR7313760001","313760","윌링스","윌링스","WILLINGS CO., LTD.","2019/07/25","KOSDAQ","주권","중견기업부","보통주","500","4862000"
"HK0000449303","900340","윙입푸드홀딩스","윙입푸드","WING YIP FOOD (CHINA) HOLDINGS GROUP LIMITED","2018/11/30","KOSDAQ","외국주권","외국기업(소속부없음)","보통주","무액면","47973428"
"KR7036200004","036200","유니셈","유니셈","UNION SEMICONDUCTOR EQUIPMENT&MATERIALS","1999/12/10","KOSDAQ","주권","우량기업부","보통주","500","30664223"
"KR7018000000","018000","유니슨","유니슨","UNISON CO., LTD.","1996/01/10","KOSDAQ","주권","중견기업부","보통주","500","121239301"
"KR7203450002","203450","유니온커뮤니티","유니온커뮤니티","Union community Co., Ltd.","2016/12/07","KOSDAQ","주권","벤처기업부","보통주","500","14679007"
"KR7011320009","011320","유니크","유니크","UNICK CORPORATION","1993/12/29","KOSDAQ","주권","우량기업부","보통주","500","19320695"
"KR7086390002","086390","유니테스트","유니테스트","UniTest Inc.","2006/12/05","KOSDAQ","주권","우량기업부","보통주","500","21134126"
"KR7241690007","241690","유니테크노","유니테크노","UNITEKNO Co.,Ltd","2016/09/20","KOSDAQ","주권","우량기업부","보통주","500","11927520"
"KR7142210004","142210","유니트론텍","유니트론텍","Unitrontech Co.,Ltd.","2016/02/02","KOSDAQ","주권","중견기업부","보통주","500","12077643"
"KR7048430003","048430","유라테크","유라테크","YURA TECH. CO., LTD.","2001/01/11","KOSDAQ","주권","우량기업부","보통주","500","11520000"
"KR7206650004","206650","유바이오로직스","유바이오로직스","EuBiologics Co., Ltd.","2017/01/24","KOSDAQ","주권","기술성장기업부","보통주","500","34865492"
"KR7089850002","089850","유비벨록스","유비벨록스","UbiVelox Inc.","2010/06/18","KOSDAQ","주권","벤처기업부","보통주","500","7115697"
"KR7032620007","032620","유비케어","유비케어","UBCARE CO., LTD.","1997/05/02","KOSDAQ","주권","우량기업부","보통주","500","52197139"
"KR7264450008","264450","유비쿼스","유비쿼스","Ubiquoss Inc.","2017/03/31","KOSDAQ","주권","우량기업부","보통주","500","10245706"
"KR7078070000","078070","유비쿼스홀딩스","유비쿼스홀딩스","Ubiquoss Holdings Inc.","2009/01/23","KOSDAQ","주권","우량기업부","보통주","500","18696628"
"KR7024800005","024800","유성티엔에스","유성티엔에스","YOOSUNG T&S CO.,LTD","1999/12/10","KOSDAQ","주권","우량기업부","보통주","500","27213580"
"KR7054930003","054930","유신","유신","Yooshin Engineering Corporation","2002/01/15","KOSDAQ","주권","중견기업부","보통주","5000","3000000"
"KR7038340006","038340","유씨아이","UCI","UCI Co.,Ltd.","2001/11/22","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","37397367"
"KR7069330009","069330","유아이디","유아이디","U.I.DISPLAY CO.,LTD.","2003/08/18","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","11887792"
"KR7049520000","049520","유아이엘","유아이엘","UIL Co.,Ltd","2001/08/02","KOSDAQ","주권","우량기업부","보통주","500","21784936"
"KR7287410005","287410","유안타제3호기업인수목적","유안타제3호스팩","Yuanta 3 SPECIAL PURPOSE ACQUISITION CO., LTD.","2018/05/08","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","4235000"
"KR7313750002","313750","유안타제4호기업인수목적","유안타제4호스팩","Yuanta 4 SPECIAL PURPOSE ACQUISITION CO., LTD.","2019/03/21","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","4650000"
"KR7336060009","336060","유안타제5호기업인수목적","유안타제5호스팩","Yuanta 5 SPECIAL PURPOSE ACQUISITION COMPANY","2019/11/28","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","5930000"
"KR7340360007","340360","유안타제6호기업인수목적","유안타제6호스팩","Yuanta 6 SPECIAL PURPOSE ACQUISITION COMPANY","2019/12/19","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","6845000"
